State,lat,long
wisconsin,44.5,-89.5
west virginia,39,-80.5
vermont,44,-72.699997
texas,31,-100
south dakota,44.5,-100
rhode island,41.700001,-71.5
oregon,44,-120.5
new york,43,-75
new hampshire,44,-71.5
nebraska,41.5,-100
kansas,38.5,-98
mississippi,33,-90
illinois,40,-89
delaware,39,-75.5
connecticut,41.599998,-72.699997
arkansas,34.799999,-92.199997
indiana,40.273502,-86.126976
missouri,38.573936,-92.60376
florida,27.994402,-81.760254
nevada,39.876019,-117.224121
maine,45.367584,-68.972168
michigan,44.182205,-84.506836
georgia,33.247875,-83.441162
tennessee,35.860119,-86.660156
virginia,37.926868,-78.024902
new jersey,39.833851,-74.871826
kentucky,37.839333,-84.27002
north dakota,47.650589,-100.437012
minnesota,46.39241,-94.63623
oklahoma,36.084621,-96.921387
montana,46.96526,-109.533691
washington,47.751076,-120.740135
utah,39.41922,-111.950684
colorado,39.113014,-105.358887
ohio,40.367474,-82.996216
alabama,32.31823,-86.902298
iowa,42.032974,-93.581543
new mexico,34.307144,-106.018066
south carolina,33.836082,-81.163727
pennsylvania,41.203323,-77.194527
arizona,34.048927,-111.093735
maryland,39.045753,-76.641273
massachusetts,42.407211,-71.382439
california,36.778259,-119.417931
idaho,44.068203,-114.742043
wyoming,43.07597,-107.290283
north carolina,35.782169,-80.793457
louisiana,30.39183,-92.329102
district of columbia,38.8951,-77.0364
